CODE;NAME;CODECITY;LONGITUDE;LATITTUDE;CATEGORY
FFO;PATTERSON AFB;878;39.82611;-84.04833;AIRPORT
DWF;WRIGHT AFB;878;46.233334;-83.333336;AIRPORT
DED;DEHRA DUN;883;30.189722;78.180275;AIRPORT
DNZ;CARDAK;891;37.787224;29.703333;AIRPORT
DEN;DENVER INTERNATIONAL;893;39.861668;-104.67306;AIRPORT
APA;ARAPAHOE CO;893;39.566666;-104.833336;AIRPORT
DEA;DERA GHAZI KHAN;895;29.961111;70.48583;AIRPORT
DEF;DEZFUL;904;32.38028;48.40472;AIRPORT
DAC;ZIA INTERNATIONAL;906;23.843332;90.39778;AIRPORT
DBD;DHANBAD;907;23.8;86.45;AIRPORT
DIB;DIBRUGARH;910;27.483334;94.9;AIRPORT
DIR;ABA TENNA D YILMA;918;9.633333;41.86667;AIRPORT
DIQ;DIVINOPOLIS;920;-20.75;-41.88333;AIRPORT
DIY;DIYARBAKIR;922;37.9;40.2;AIRPORT
DJA;DJOUGOU;924;9.7;1.666667;AIRPORT
DOD;DODOMA;928;-6.170556;35.7525;AIRPORT
DOH;DOHA;929;25.26111;51.565;AIRPORT
DOK;DONETSK INTERNATIONAL AIRPORT;931;48.083332;37.75;AIRPORT
DLA;DOUALA;940;4.016667;9.716667;AIRPORT
DGL;DOUGLAS MUNICIPAL;942;12.616667;14.983333;AIRPORT
DUG;BISBEE-DOUGLAS INTL;942;31.466667;-109.6;AIRPORT
JDY;HELIPORT;945;33.95639;-118.12056;AIRPORT
DXB;DUBAI;948;25.25;55.333332;AIRPORT
DUB;DUBLIN;949;53.433334;-6.25;AIRPORT
PSK;NEW RIVER VALLEY;949;37.11667;-80.683334;AIRPORT
DGT;DUMAGUETE;954;9.3;123.3;AIRPORT
DND;DUNDEE;955;56.4525;-3.016667;AIRPORT
AMK;ANIMAS AIRPARK;960;14.466667;-87.85;AIRPORT
DRO;LA PLATA;960;37.15;-107.75;AIRPORT
VIR;VIRGINIA;961;-29.770555;31.058332;AIRPORT
NRN;WEEZE;966;51.2075;6.773333;AIRPORT
ELS;EAST LONDON;969;-33.05;27.816668;AIRPORT
EDI;TURNHOUSE;978;55.95;-3.35;AIRPORT
EIN;EINDHOVEN;981;51.45;5.374444;AIRPORT
EMT;EL MONTE;990;34.1;-118.03333;AIRPORT
ELP;EL PASO INTERNATIONAL AIRPORT;991;31.8;-106.38333;AIRPORT
ELX;EL TIGRE;992;10.616667;-71.73333;AIRPORT
EZS;ELAZIG;993;38.6;39.283333;AIRPORT
EDL;ELDORET;996;0.533333;35.266666;AIRPORT
ESE;ENSENADA;1007;31.8;-116.6;AIRPORT
ERC;ERZINCAN;1016;39.716667;39.516666;AIRPORT
AOE;ANADOLU UNIVERSITY;1020;39.81167;30.52861;AIRPORT
ESS;ESSEN;1024;51.416668;7.0;AIRPORT
EUG;EUGENE;1030;44.11667;-123.21667;AIRPORT
SUU;TRAVIS AFB;1038;5.816667;-54.816666;AIRPORT
LYP;FAISALABAD;1039;31.516666;73.0;AIRPORT
