CATEGORY,SUBCATEGORY,REGEXPR,PRIMARYKEY,FOREIGNKEY
JEWELRY,ARGENT_CARAT,^([0-9]+(\.\d+)?\s+(CARAT|CARATS|KT|K|CT))$,,
HEARING_NOISE,HEARING_NOISE_FR_DB,^([0-9]+(\.\d+)?\s+(D�CIBEL|DB|D�CIBELS))$,,
HEARING_NOISE,HEARING_NOISE_EN_DB,^([0-9]+(\.\d+)?\s+(DECIBEL|DB|DECIBELS))$,,
HEARING_NOISE,HEARING_NOISE_FR_DB(A),^([0-9]+(\.\d+)?\s+(D�CIBELA|DB\(A\)|D�CIBELSA))$,,
HEARING_NOISE,HEARING_NOISE_EN_DB(A),^([0-9]+(\.\d+)?\s+(DECIBELA|DB\(A\)|DECIBELSA))$,,
HEARING_NOISE,HEARING_NOISE_EPND,^([0-9]+(\.\d+)?\s+(EPNDB))$,,
HEARING_NOISE,HEARING_NOISE_LDEN,^([0-9]+(\.\d+)?\s+(LDEN))$,,
HEARING_NOISE,HEARING_NOISE_NAX,^([0-9]+(\.\d+)?\s+(NAX))$,,
URL,URL,^(((http|https):\/\/)?(www[.])?([a-zA-Z0-9]|-)+([.][a-zA-Z(-|\/|=|?)?]+)+$)$,,
URL,URL WITH OR WITHOUT PROTOCOL,^(([\d\w.]+?\.(a[cdefgilmnoqrstuwz]|b[abdefghijmnorstvwyz]|c[acdfghiklmnoruvxyz]|d[ejkmnoz]|e[ceghrst]|f[ijkmnor]|g[abdefghilmnpqrstuwy]|h[kmnrtu]|i[delmnoqrst]|j[emop]|k[eghimnprwyz]|l[abcikrstuvy]|m[acdghklmnopqrstuvwxyz]|n[acefgilopruz]|om|p[aefghklmnrstwy]|qa|r[eouw]|s[abcdeghijklmnortuvyz]|t[cdfghjkmnoprtvwz]|u[augkmsyz]|v[aceginu]|w[fs]|y[etu]|z[amw]|aero|arpa|biz|com|coop|edu|info|int|gov|mil|museum|name|net|org|pro)(\b|\W(?<!&|=)(?!\.\s|\.{3}).*?))(\s|$))$,,
HTAG ?,HTAG ?,^(((http|https):\/\/)?(www[.])?([a-zA-Z0-9]|-)+([.][a-zA-Z(-|\/|=|?)?]+)+$)$,,
SCIENTIFIC_WRITING,SCIENTIFIC_WRITING,^(-?[1-9](\.\d+)?)(\s?[x*]\s?10[E^]([\+-]?\d+))|(E([\+-]?\d+))$,,
EMAIL,EMAIL1,"^([a-zA-Z0-9._-]+@[a-zA-Z._-]{2,}\.[a-zA-Z]{2,3}$)$",,
EMAIL,EMAIL2-ADDRESS,^([a-zA-Z0-9!#$%&'*+/=?^_`{|}~-]+(?:\.[a-zA-Z0-9!#$%&'*+/=?^_`{|}~-]+)*@(?:[a-zA-Z0-9](?:[a-zA-Z0-9-]*[a-zA-Z0-9])?\.)+(?:[a-zA-Z]{2}|aero|asia|biz|cat|com|coop|edu|gov|info|int|jobs|mil|mobi|museum|name|net|org|pro|tel|travel))$
COLOR,COLOR_CODE,^(#(([A-F0-9]{6})))$,,
COLOR,RGB COLOR FORMAT ,"^((?:(?:^|,\s*)([01]?\d\d?|2[0-4]\d|25[0-5])){3}$)$",,
IPADRESS,IPADRESS1,^((25[0-5]|2[0-4]\d|[0-1]?\d?\d)(\.(25[0-5]|2[0-4]\d|[0-1]?\d?\d)){3}$)$,,
IPADRESS,IPADRESS2_^255,"^((?=255)(\d{1,3}\.){3}\d{1,3})$",,
IPADRESS,IPADRESS3_!255,"^((?!255)(\d{1,3}\.){3}\d{1,3})$",,
IPADRESS,IPADRESS4_,"^((http://(\S{1,20}:(\S){1,20}@)?)[\S&&[^:/]]+)$",,
SYMBOL,COPYRIGHT_SYMBOL,^(\xA9)$,,
SOURCE,PICTURE_SOURCE,^(src[^&gt;]*[^/].(?:jpg|bmp|gif)(?:\&quot;|\'))$,,
SOCIAL_SECURITY_ NUMBER,SSN-METROPOLITAINE-FR,^([1|2])\s([0-9]{2})\s((0[1-9])|(1[0-2]))\s((2[A|B])|(0[1-9])|([1-9][0-5]))\s((00[1-9])|(0[1-9][0-9])|([1-9][0-8][0-9])|990)\s((00[1-9])|(0[1-9][0-9])|([1-9][0-9][0-9]))\s(0[1-9]|[1-9][0-7])$,,
SOCIAL_SECURITY_ NUMBER,SSN-HORS-METROPOLITAINE-FR,^(([1|2])\s([0-9]{2})\s((0[1-9])|(1[0-2]))\s(96|97|98)\s((00[1-9])|(0[1-9][0-9])|([1-9][0-8][0-9])|990)\s((00[1-9])|(0[1-9][0-9])|([1-9][0-9][0-9]))\s(0[1-9]|[1-9][0-7]))$,,
SOCIAL_SECURITY_ NUMBER,SSN-OUTRE-MERE-FR,^(([1|2])\s([0-9]{2})\s((0[1-9])|(1[0-2]))\s(970|971|972|973|974|975|976|977|978|979|980|981|982|983|984|985|986|987|988|989)\s((00[1-9])|(0[1-9]|([1-8][0-9])|90))\s((00[1-9])|(0[1-9][0-9])|([1-9][0-9][0-9]))\s(0[1-9]|[1-9][0-7]))$,,
SOCIAL_SECURITY_ NUMBER,SSNE_UK,^([A-Z]{2}[0-9]{6}A|C|B|d)$,,
SOCIAL_SECURITY_ NUMBER,SSNE_ES,"^([0-9]{2}\/[0-9]{6,8}\/[0-9]{2})$",,
SOCIAL_SECURITY_ NUMBER,SSN-NAISSANCE-ETRANGERE,^(([1|2])\s([0-9]{2})\s((0[1-9])|(1[0-2]))\s(99)\s((00[1-9])|(0[1-9][0-9])|([1-9][0-8][0-9])|990)\s((00[1-9])|(0[1-9][0-9])|([1-9][0-9][0-9]))\s(0[1-9]|[1-9][0-7]))$,,
SOCIAL_SECURITY_ NUMBER,SSNE_CANADA,^([0-9]{3}[- ][0-9]{3}[- ][0-9]{3})$,,
SOCIAL_SECURITY_ NUMBER,US.SOCIAL SECURITY NUMBER,^((?!000)([0-6]\d{2}|7([0-6]\d|7[012]))([ -]?)(?!00)\d\d\3(?!0000)\d{4}$)$,,
SOCIAL_SECURITY_ NUMBER,SSNE_JP,"^([0-9]{4}(-)?([0-9]{6}|[0-9]{7,12}))$",,
SOCIAL_SECURITY_ NUMBER,SSNE_US,^((?!000)([0-6]\d{2}|7([0-6]\d|7[012]))([ -]?)(?!00)\d\d\3(?!0000)\d{4}$)$,,
DATE,DATE-INTER AAAA-MM-DD ?( HH:MM:SS),^((\d{4}[\-\.]((0?[13578][\-\.]|1[02][\-\.])(0?[1-9][\-\.]|[12]\d[\-\.]|3[01])|(0?[13456789]|1[012][\-\.])([\-\.]0?[1-9]|[\-\.][12]\d|[\-\.]30)|0?2[\-\.](0?[1-9]|1\d|2[0-8])))|(\d{2}[02468][048][\-\.]|\d{2}[13579][26][\-\.])((0?2)[\-\.](29)))(\s((([0-1][0-9])|(2[0-3])):([0-5][0-9]):([0-5][0-9])))?$,^((\d{4}[\-\.]((0?[13578][\-\.]|1[02][\-\.])(0?[1-9][\-\.]|[12]\d[\-\.]|3[01])|(0?[13456789]|1[012][\-\.])([\-\.]0?[1-9]|[\-\.][12]\d|[\-\.]30)|0?2[\-\.](0?[1-9]|1\d|2[0-8])))|(\d{2}[02468][048][\-\.]|\d{2}[13579][26][\-\.])((0?2)[\-\.](29)))(\s((([0-1][0-9])|(2[0-3])):([0-5][0-9]):([0-5][0-9])))?$,
